# https://wikirate.org/?filter%5Bcompany_name%5D=&mark=Climate+100+GHG+Emissions%2BAnswer&format=csv&view=detailed&limit=5000
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2024-04-07 16:54:20 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments
https://wikirate.org/~15558672,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Hitachi Ltd.,2022,268.75,https://wikirate.org/~15558046,15558672,"",1,"Pg62- ""Indirect emissions from the production of electricity and heat purchased by the company is 1.08Mt-CO2e [0.4%]. Emissions by other entities related to the company’s activities are 240.22Mt-CO2e [89.2%]. Emissions by other entities related to the company’s activities are 27.45Mt-CO2e [10.2%]."" Raman[https://wikirate.org/Raman].....2023-10-09 11:31:36 UTC"
https://wikirate.org/~15354645,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Lockheed Martin,2022,508459,https://wikirate.org/~15354635,15354645,"",1,"pg. 44 ""SCOPE 2 EMISSIONS (2022) Gross Location-based Indirect GHG Emissions (MT CO2e) 508,459"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-08 15:49:17 UTC"
https://wikirate.org/~15354567,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Caterpillar,2022,800000,https://wikirate.org/~15354555,15354567,https://s7d2.scene7.com/is/content/Caterpillar/CM20230428-315ef-024e2,1,"pg. 44 ""Scope 2 Location-based (million metric tons CO2e) (2022) 0.80"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-08 13:42:38 UTC"
https://wikirate.org/~15354729,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Koninklijke Philips N.V,2022,23000,https://wikirate.org/~15354717,15354729,https://www.results.philips.com/publications/ar22/downloads/pdf/en/PhilipsFullAnnualReport2022-English.pdf?v=20230426085127,1,"pg. 59 ""Operational carbon footprint by scope in kilotonnes CO2-equivalent unless otherwise stated Scope 2 (location-based) (2022) 23"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-09 08:13:00 UTC"
https://wikirate.org/~15327015,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Volkswagen AG,2022,2110000,https://wikirate.org/~15327007,15327015,https://www.volkswagenag.com/presence/nachhaltigkeit/documents/sustainability-report/2022/Nonfinancial_Report_2022_e.pdf,1,"pg. 53 ""Scope 2 GHG emissions (absolute) in million metric tons of CO₂ (2022) 2.11"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-05 18:03:18 UTC"
https://wikirate.org/~15354665,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Chevron Corporation,2022,4000000,https://wikirate.org/~15354653,15354665,https://www.chevron.com/-/media/shared-media/documents/chevron-sustainability-report-2022.pdf,1,"pg. 61 ""indirect GHG emissions from imported energy (scope 2) – all GHGs (million tonnes CO₂e) (2022) 4"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-08 15:56:10 UTC"
https://wikirate.org/~15354777,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",United Technologies Corporation,2022,936100,https://wikirate.org/~15354765,15354777,https://prd-sc101-cdn.rtx.com/-/media/rtx/social-impact/our-esg-vision/esg-2023/report/2022-rtx-esg-report.pdf?rev=cae27cddad6c4202881503cc9aab57bb,1,"pg. 58 ""Total Scope 2 GHG emissions (location-based) (MT CO2e) (2022) 936,100"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-09 12:08:37 UTC"
https://wikirate.org/~15354840,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Honda Motor Company,2022,3140000,https://wikirate.org/~15354828,15354840,https://global.honda/sustainability/cq_img/report/pdf/2022/Honda-SR-2022-en-all.pdf,1,"pg. 73 "" Indirect emissions from energy use (Scope 2) (2022) (million t-CO2e) 3.14"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-09 14:20:13 UTC"
https://wikirate.org/~15352097,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",EDF,2022,400000,https://wikirate.org/~15352084,15352097,"",1,"pg. 141 ""EDF group greenhouse gas report (in MtCO2e) Scope 2 emissions (2022) 0.4"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-08 10:59:49 UTC"
https://wikirate.org/~15327867,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Anglo American,2022,5000000,https://wikirate.org/~14558558,15327867,"",1,"pg. 57 ""Climate change performance Scope 2 emissions 2022 5.0 Mt CO2e"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-07 07:51:27 UTC"
https://wikirate.org/~15352076,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Panasonic Corporation,2022,1730000,https://wikirate.org/~15352064,15352076,https://holdings.panasonic/global/corporate/sustainability/pdf/sdb2022e.pdf,1,"pg. 28 ""Scope 2 Emissions (10 kt) (2022) 173"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-08 10:51:58 UTC"
https://wikirate.org/~15355009,"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Vale SA,2022,600000,https://wikirate.org/~15354996,15355009,https://vale.com/documents/d/guest/vale_relatointegrado2022-en-final-1,1,"pg. 56 ""Scopes 1 and 2 GHG emissions (In millions of tons of CO2e) (2022) Footnote 6 Vale’s Scope 2 location-based emissions totaled 0.6 million tons of CO2e, a 52% reduction compared to 2017."" Manali Rana[https://wikirate.org/Manali_Rana].....2023-06-09 17:43:02 UTC"
