# https://wikirate.org/?filter%5Bcompany_name%5D=&mark=Global+Reporting+Initiative%2BTotal+Waste+Generated%2C+GRI+306-2+%28formerly+G4-EN23-a%29%2BAnswer&format=csv&view=detailed&limit=5000
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2024-04-07 21:28:23 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments
https://wikirate.org/~13924800,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Itochu,2023,648623,https://wikirate.org/~15553023,13924800,"",1,"This source gives us the metric in tons, but I converted it to metric tons. Grace Moe[https://wikirate.org/Grace_Moe].....2022-10-24 17:21:51 UTC"
https://wikirate.org/~18082858,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Nike Inc.,2023,236984,https://wikirate.org/~18082680,18082858,"",1,"Page 178, all FY23 totals added up. Logan Orr[https://wikirate.org/Logan_Orr].....2024-03-19 23:19:06 UTC"
https://wikirate.org/~18063433,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Marks and Spencer Group plc,2023,69000,https://wikirate.org/~18045616,18063433,"",1,Page 63. Flegeo Auriane[https://wikirate.org/Flegeo_Auriane].....2024-03-18 16:14:09 UTC
https://wikirate.org/~18085267,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Gildan Activewear Inc.,2023,67000,https://wikirate.org/~14548545,18085267,https://gildancorp.com/media/uploads/sustainability_reports/b2022_climate_change_disclosure_report_gildan.pdf,1,67000 metric tones is the total amount of waste generated by the organization Arslan Jumabayev[https://wikirate.org/Arslan_Jumabayev].....2024-03-21 06:48:26 UTC
https://wikirate.org/~18083625,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Fast Retailing,2023,54522,https://wikirate.org/~18083617,18083625,https://www.fastretailing.com/eng/sustainability/environment/waste.html,1,"13,612+40,685+225= 54,522 (not including supply chain) Jake Templin[https://wikirate.org/Jake_Templin].....2024-03-20 14:33:24 UTC"
https://wikirate.org/~18074759,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Puma,2023,44189,https://wikirate.org/~18046254,18074759,"",1,"p.161,164 ""Since we do not operate any industrial manufacturing facilities (with one exception in Argentina), the amount of hazardous waste created in PUMA’s own operations is very low at 36 tons. The 36 tons originate from our factory in Argentina (26 tons) and the exchange of old lighting systems to LED at the PUMA headquarters (9 tons). All hazardous waste is handled strictly in line with hazardous waste regulations."" ""Waste (t)"" ""Total waste from own operations - 5,595"" ""Total waste from PUMA production (core Tier 1 and 2) - 38,594"" ""Calculation: 5595+38594 = 44189 ""Figures include PUMA owned or operated offices, warehouses and stores. Includes our own production sites in Argentina. All other production is outsourced to independent supplier factories, some warehouse operations are outsourced to independent logistics providers. Franchised stores are excluded."" Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-03-19 08:27:26 UTC p.164 ""Total waste from own operations - 5,595 Recycled waste - 3,598"" ..."
https://wikirate.org/~18037431,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Next PLC,2023,34013,https://wikirate.org/~18037330,18037431,"",1,Page 23 of 37 in the table. Ben Luebke[https://wikirate.org/Ben_Luebke].....2024-03-06 21:57:29 UTC
https://wikirate.org/~18083348,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Adidas AG,2023,26382,https://wikirate.org/~18074968,18083348,"",1,"p.90 ""By the end of 2023, a total of 26,382 tons (2022: 32,246 tons) of waste was generated, and we achieved an accumulated diversion rate of 89% (2022: 88%) for administrative offices and distribution centers."" Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-03-20 07:25:39 UTC"
https://wikirate.org/~18086335,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Inditex,2023,21606,https://wikirate.org/~18085986,18086335,"",1,pg. 246 Whitney[https://wikirate.org/Whitney].....2024-03-21 18:47:07 UTC
https://wikirate.org/~18085779,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Hermes International,2023,14300,https://wikirate.org/~18085711,18085779,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2024-02/1707422069/hermes_20240209_pr_2023fullyearresults_va.pdf,1,
https://wikirate.org/~18082950,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Ralph Lauren Corporation,2023,10724,https://wikirate.org/~18082539,18082950,https://corporate.ralphlauren.com/on/demandware.static/-/Sites-RalphLauren_Corporate-Library/default/dw67845c51/documents/2023_reports_and_policies/RL-2023-GCSReport.pdf,1,"found on page 39 table of waste generated at our facilities total=10,724 Elise Trainor[https://wikirate.org/Elise_Trainor].....2024-03-20 00:13:33 UTC"
https://wikirate.org/~18088528,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Aditya Birla Fashion & Retail Ltd,2023,5555,https://wikirate.org/~15696802,18088528,"",1,page 58: waste generation table Benjamin Riley[https://wikirate.org/Benjamin_Riley].....2024-03-28 05:42:40 UTC
https://wikirate.org/~18084335,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Deckers Outdoor Corporation,2023,209,https://wikirate.org/~18078571,18084335,https://deckers.com/sites/default/files/images/responsibility/FY23_Deckers_Creating_Change_10.30w.pdf,1,Page 123. It also gives the per pair breakdown of waste on page 130 of the report. Joe Hesse[https://wikirate.org/Joe_Hesse].....2024-03-20 21:48:05 UTC
https://wikirate.org/~18087998,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Guess? Inc,2023,102,https://wikirate.org/~18086297,18087998,"",1,"102,000 kilograms of total waste. Tyler Schumacher[https://wikirate.org/Tyler_Schumacher].....2024-03-26 21:18:11 UTC"
https://wikirate.org/~15539379,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",SolarWorld,2023,Unknown,https://wikirate.org/~15539373,15539379,"",1,Website is not accessible. www.solarworld.com[http://www.solarworld.com] Manali Rana[https://wikirate.org/Manali_Rana].....2023-09-04 14:11:48 UTC
https://wikirate.org/~18087505,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Asos,2023,Unknown,https://wikirate.org/~18087425,18087505,https://asos-12954-s3.s3.eu-west-2.amazonaws.com/files/7217/0065/7934/ASOS_Annual_Report_2023.pdf,1,
