# https://wikirate.org/?filter%5Bcompany_name%5D=&mark=Global+Reporting+Initiative%2BFuel+consumption+from+non-renewable+sources%2C+GRI+302-1-a+%28formerly+G4-EN3-a%29%2BAnswer&format=csv&view=titled&limit=5000
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2024-04-07 21:29:38 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~18085259,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Gildan Activewear Inc.,2023,1310000,https://wikirate.org/~18085203
https://wikirate.org/~18084377,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Sports Direct,2023,825014.82,https://wikirate.org/~18084191
https://wikirate.org/~18082944,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Ralph Lauren Corporation,2023,802692,https://wikirate.org/~18082539
https://wikirate.org/~18082850,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Nike Inc.,2023,769464,https://wikirate.org/~18082680
https://wikirate.org/~13924743,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Itochu,2023,295271,https://wikirate.org/~15553023
https://wikirate.org/~18087990,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Guess? Inc,2023,250392,https://wikirate.org/~18086297
https://wikirate.org/~18074895,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Puma,2023,23598,https://wikirate.org/~18046254
https://wikirate.org/~18086316,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Inditex,2023,Unknown,https://wikirate.org/~18085986
https://wikirate.org/~18084041,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",H&M,2023,Unknown,https://wikirate.org/~15076047
https://wikirate.org/~18083361,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Adidas AG,2023,Unknown,https://wikirate.org/~18074968
https://wikirate.org/~18083158,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Kering,2023,Unknown,https://wikirate.org/~18083133
https://wikirate.org/~18084950,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Burberry Group plc,2023,Unknown,https://wikirate.org/~18084773
https://wikirate.org/~18062708,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Marks and Spencer Group plc,2023,Unknown,https://wikirate.org/~18045616
https://wikirate.org/~18085773,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Hermes International,2023,Unknown,https://wikirate.org/~18085711
https://wikirate.org/~18037424,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Next PLC,2023,Unknown,https://wikirate.org/~18037330
https://wikirate.org/~18083605,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Fast Retailing,2023,Unknown,https://wikirate.org/~18083593
https://wikirate.org/~18084807,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Abercrombie & Fitch,2023,Unknown,https://wikirate.org/~18084557
https://wikirate.org/~13962276,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Cemoi Group,2023,Unknown,https://wikirate.org/~13957310
https://wikirate.org/~15639478,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",AO Smith Corporation,2023,Unknown,https://wikirate.org/~15639423
https://wikirate.org/~18087932,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Buckle Inc,2023,Unknown,https://wikirate.org/~18083746
https://wikirate.org/~18082701,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Capri Holdings Ltd (formerly Michael Kors),2023,Unknown,https://wikirate.org/~18035418
https://wikirate.org/~18084816,"Global Reporting Initiative+Fuel consumption from non-renewable sources, GRI 302-1-a (formerly G4-EN3-a)",Boohoo.com,2023,Unknown,https://wikirate.org/~18084544
